sample_id	title	source	sample_type
GSM362958	Liver Tumor Tissue LCS-079A	lcs-079a	Tumor
GSM362959	Liver Tumor Tissue LCS-092A	lcs-092a	Tumor
GSM362960	Liver Tumor Tissue LCS-101A	lcs-101a	Tumor
GSM362961	Liver Non-Tumor Tissue LCS-079B	lcs-079b	Normal
GSM362962	Liver Non-Tumor Tissue LCS-092B	lcs-092b	Normal
GSM362963	Liver Non-Tumor Tissue LCS-101B	lcs-101b	Normal
GSM362964	Liver Tumor Tissue LCS-083A	lcs-083a	Tumor
GSM362965	Liver Tumor Tissue LCS-095A	lcs-095a	Tumor
GSM362966	Liver Tumor Tissue LCS-102A	lcs-102a	Tumor
GSM362967	Liver Non-Tumor Tissue LCS-083B	lcs-083b	Normal
GSM362968	Liver Non-Tumor Tissue LCS-095B	lcs-095b	Normal
GSM362969	Liver Non-Tumor Tissue LCS-102B	lcs-102b	Normal
GSM362970	Liver Tumor Tissue LCS-085A	lcs-085a	Tumor
GSM362971	Liver Tumor Tissue LCS-096A	lcs-096a	Tumor
GSM362972	Liver Tumor Tissue LCS-103A	lcs-103a	Tumor
GSM362973	Liver Non-Tumor Tissue LCS-085B	lcs-085b	Normal
GSM362974	Liver Non-Tumor Tissue LCS-096B	lcs-096b	Normal
GSM362975	Liver Non-Tumor Tissue LCS-103B	lcs-103b	Normal
GSM362976	Liver Tumor Tissue LCS-091A	lcs-091a	Tumor
GSM362977	Liver Tumor Tissue LCS-099A	lcs-099a	Tumor
GSM362978	Liver Tumor Tissue LCS-105A	lcs-105a	Tumor
GSM362979	Liver Non-Tumor Tissue LCS-091B	lcs-091b	Normal
GSM362980	Liver Non-Tumor Tissue LCS-099B	lcs-099b	Normal
GSM362981	Liver Non-Tumor Tissue LCS-105B	lcs-105b	Normal
GSM362982	Liver Tumor Tissue LCS-122A	lcs-122a	Tumor
GSM362983	Liver Tumor Tissue LCS-004A	lcs-004a	Tumor
GSM362984	Liver Tumor Tissue LCS-130A	lcs-130a	Tumor
GSM362985	Liver Non-Tumor Tissue LCS-004B	lcs-004b	Normal
GSM362986	Liver Tumor Tissue LCS-123A	lcs-123a	Tumor
