source	target	score
COX15	COX17	0.721
COX15	COA6	0.783
COX15	COX7B	0.803
COX15	NDUFA4	0.85
COX15	COA3	0.857
COX15	TACO1	0.897
COX15	COX6B1	0.931
COX15	COX11	0.931
COX15	SCO2	0.976
COX15	UQCRFS1	0.978
COX15	SCO1	0.98
COX15	MT-CO2	0.991
COX15	SURF1	0.992
COX15	MT-CO1	0.992
COX15	MT-CO3	0.994
COX15	COX10	0.999
MT3	MT1HL1	0.725
MT3	MT1E	0.891
APOH	HP	0.736
APOH	A2M	0.752
APOH	ORM1	0.76
APOH	APP	0.763
APOH	TYR	0.778
APOH	HPX	0.792
APOH	SERPINA1	0.845
APOH	AFP	0.847
APOH	FGA	0.871
APOH	CLU	0.911
APOH	APOE	0.921
APOH	ALB	0.933
APOH	APOA4	0.938
APOH	AHSG	0.957
APOH	F2	0.984
APOH	APOA1	0.985
APOH	APOA2	0.989
MT4	MT1E	0.82
MPO	HP	0.708
MPO	SERPINA1	0.753
MPO	S100A12	0.766
MPO	C3	0.786
MPO	ALB	0.887
MPO	APOA1	0.924
MPO	CP	0.965
MPO	LTF	0.998
LOX	LOXL2	0.753
LOX	BMP1	0.841
LOX	MFAP2	0.882
LOX	FN1	0.931
LOX	FBLN5	0.969
LOX	ELN	0.992
SPARC	BGN	0.724
SPARC	HSPG2	0.733
SPARC	FN1	0.969
SPARC	ALB	0.991
LTF	APOA4	0.709
LTF	C3	0.711
LTF	ORM1	0.715
LTF	HPX	0.722
LTF	A2M	0.724
LTF	AHSG	0.744
LTF	FGA	0.75
LTF	TTR	0.803
LTF	HP	0.811
LTF	APOE	0.828
LTF	APOA1	0.829
LTF	CSN2	0.883
LTF	LRP1	0.902
LTF	LPO	0.948
LTF	LRP2	0.968
LTF	CP	0.971
LTF	CLU	0.993
LTF	ALB	0.996
LTF	LCN2	0.996
LTF	LALBA	0.999
APOA1	AFP	0.721
APOA1	BMP1	0.797
APOA1	HPX	0.826
APOA1	ORM2	0.828
APOA1	FN1	0.845
APOA1	LRP2	0.856
APOA1	ORM1	0.869
APOA1	SNCA	0.883
APOA1	FGA	0.902
APOA1	TF	0.919
APOA1	SERPINA1	0.927
APOA1	F2	0.927
APOA1	AHSG	0.944
APOA1	C3	0.957
APOA1	APP	0.982
APOA1	APOA4	0.989
APOA1	TTR	0.994
APOA1	ALB	0.998
APOA1	HP	0.998
APOA1	CLU	0.998
APOA1	A2M	0.998
APOA1	APOA2	0.999
APOA1	APOE	0.999
TTR	F2	0.724
TTR	SNCA	0.753
TTR	FGA	0.773
TTR	C3	0.782
TTR	HPX	0.793
TTR	TF	0.817
TTR	SERPINA3	0.82
TTR	PRNP	0.821
TTR	CP	0.827
TTR	IAPP	0.842
TTR	APOA2	0.843
TTR	ORM1	0.85
TTR	ORM2	0.856
TTR	APOA4	0.857
TTR	AHSG	0.858
TTR	HP	0.871
TTR	AGER	0.884
TTR	CLU	0.885
TTR	AFP	0.888
TTR	A2M	0.905
TTR	LRP2	0.905
TTR	APOE	0.952
TTR	SERPINA1	0.961
TTR	SERPINA7	0.98
TTR	APP	0.982
TTR	ALB	0.994
PDZD11	VDAC1	0.732
PDZD11	ATOX1	0.758
PDZD11	ATP7A	0.983
TARDBP	MT-ND6	0.818
TARDBP	PRNP	0.88
TARDBP	APP	0.881
TARDBP	HSPA4	0.92
TARDBP	MAPT	0.97
TARDBP	SOD1	0.989
TARDBP	SNCA	0.994
IAPP	HSPG2	0.703
IAPP	APOE	0.818
IAPP	PRNP	0.89
IAPP	SNCA	0.934
IAPP	APP	0.938
ATP7B	COX17	0.773
ATP7B	SLC30A4	0.784
ATP7B	MT1E	0.823
ATP7B	ATP7A	0.908
ATP7B	SLC31A2	0.93
ATP7B	SLC31A1	0.943
ATP7B	COMMD1	0.978
ATP7B	CP	0.979
ATP7B	CCS	0.992
ATP7B	ATOX1	0.998
LRP1	ALB	0.714
LRP1	CLU	0.715
LRP1	GPC1	0.722
LRP1	HP	0.724
LRP1	AGER	0.795
LRP1	PRNP	0.806
LRP1	HSPG2	0.809
LRP1	LRP2	0.942
LRP1	APP	0.983
LRP1	HSPA4	0.991
LRP1	HPX	0.996
LRP1	A2M	0.998
LRP1	APOE	0.999
RAB38	TYR	0.778
RAB38	TYRP1	0.841
C3	AHSG	0.7
C3	F11	0.717
C3	APOE	0.732
C3	CP	0.751
C3	ORM2	0.772
C3	ORM1	0.775
C3	CLU	0.803
C3	HPX	0.841
C3	SERPINA1	0.859
C3	HP	0.862
C3	F2	0.874
C3	APP	0.887
C3	ALB	0.959
APOE	FGA	0.705
APOE	FN1	0.712
APOE	PRNP	0.717
APOE	GPC1	0.721
APOE	BGN	0.723
APOE	VDAC1	0.761
APOE	SERPINA1	0.781
APOE	HP	0.811
APOE	SERPINA3	0.916
APOE	ALB	0.953
APOE	HSPG2	0.954
APOE	A2M	0.975
APOE	MAPT	0.991
APOE	APOA4	0.995
APOE	SNCA	0.996
APOE	LRP2	0.999
APOE	APOA2	0.999
APOE	CLU	0.999
APOE	APP	0.999
AOC2	DBH	0.901
AOC2	DDC	0.91
AOC2	COMT	0.915
AOC2	LRTOMT	0.92
AOC2	ALDH9A1	0.928
AOC2	ALDH1B1	0.933
AOC2	AOC3	0.944
AOC2	MAOB	0.979
AOC2	MAOA	0.98
SCO1	COX19	0.708
SCO1	COX18	0.757
SCO1	COA5	0.763
SCO1	ATOX1	0.794
SCO1	TACO1	0.798
SCO1	CYCS	0.808
SCO1	UQCRFS1	0.879
SCO1	COX6B1	0.919
SCO1	COA6	0.946
SCO1	COX11	0.961
SCO1	COX10	0.964
SCO1	MT-CO3	0.967
SCO1	SURF1	0.967
SCO1	MT-CO1	0.974
SCO1	COX17	0.994
SCO1	MT-CO2	0.996
TACO1	MT-CO3	0.744
TACO1	COX6B1	0.764
TACO1	SCO2	0.78
TACO1	COA3	0.803
TACO1	MT-CO1	0.813
TACO1	SURF1	0.848
TACO1	COX10	0.891
SLC31A2	CCS	0.714
SLC31A2	COX17	0.77
SLC31A2	ATOX1	0.815
SLC31A2	ATP7A	0.91
ORM1	LCN2	0.707
ORM1	TF	0.731
ORM1	AFP	0.74
ORM1	FGA	0.747
ORM1	APOA2	0.772
ORM1	HPX	0.778
