gene_symbol,mean_tumor,mean_normal,log2FC,t_stat,p_value,adj_p_BH,significant_0.05_BH
ALB,13.822573020425768,16.20528684292301,-2.382713822497241,-17.935010097884582,2.310544323703572e-47,1.247693934799929e-45,True
SLC31A1,4.875051099495103,5.952563192950522,-1.077512093455419,-17.933405149472463,9.488849042906894e-36,2.5619892415848614e-34,True
CP,6.408597476648265,8.47294960972566,-2.064352133077395,-15.470832628034074,3.773092863978324e-33,6.791567155160983e-32,True
PRNP,4.293136319943002,5.482499400759741,-1.1893630808167384,-14.24029362373845,2.663142411955612e-32,3.595242256140076e-31,True
DBH,1.3770698546815625,4.216489127276709,-2.839419272595147,-19.90761740504139,1.9663449152900186e-29,2.12365250851322e-28,True
LOXL2,2.075174139740298,1.0670003184996295,1.0081738212406686,15.355518457783738,3.9513174570759593e-28,3.556185711368363e-27,True
SOD1,8.646656997589279,9.465135104584645,-0.8184781069953662,-10.61115355405698,1.488662024756359e-19,1.1483964190977628e-18,True
AFP,3.456270423140038,1.7247827188998004,1.7314877042402377,9.173506002947143,2.5494438981499387e-18,1.7208746312512088e-17,True
MAP2K1,3.9905568289548494,5.012174393670363,-1.0216175647155135,-12.541643908673475,3.096515941327036e-18,1.8579095647962216e-17,True
AOC3,2.577721901022861,3.285339752373889,-0.7076178513510278,-10.155373778624323,3.00542105648127e-17,1.6229273704998857e-16,True
MT-CO1,13.785958734469407,14.926656016812226,-1.1406972823428188,-10.823003940448377,5.258448105853932e-17,2.581419979237385e-16,True
SCO1,2.220689950810294,2.575390977250693,-0.3547010264403987,-9.620747979520694,7.618910801803151e-17,3.428509860811418e-16,True
APP,6.314796664788615,6.904495163488779,-0.5896984987001641,-8.477499354872831,7.492759351386154e-16,3.112376961345018e-15,True
CUTA,7.18952247887862,6.598644373168891,0.590878105709729,9.160755422200827,1.9492588837885174e-15,7.518569980327138e-15,True
MT-CO2,13.89044494263197,14.814189384417002,-0.9237444417850327,-9.391543940231545,1.9871931318471308e-14,7.15389527464967e-14,True
MT3,0.40321363962141404,0.04397487282787229,0.3592387667935418,7.870327783431258,3.498419979774609e-14,1.1807167431739306e-13,True
SPARC,6.801830453756546,6.051239542918973,0.7505909108375732,8.604137849530758,4.1387197965273933e-14,1.3146521706616427e-13,True
LOX,1.362820689305043,0.7491308730709352,0.6136898162341078,8.352616123929796,4.471869692908562e-14,1.3415609078725687e-13,True
S100A12,0.42771958891186496,1.7989360385015218,-1.3712164495896568,-9.577224437751374,4.2589972060330025e-13,1.2104518375041165e-12,True
ENOX1,0.41894327368921447,0.17560588773378158,0.2433373859554329,7.30123615469647,1.838577580969621e-12,4.964159468617976e-12,True
GPC1,3.445753913692912,4.04674017130382,-0.600986257610908,-6.802369994554351,8.408343442066291e-11,2.162145456531332e-10,True
TYRP1,0.20920545388167397,0.02628211054056184,0.18292334334111213,6.587178945918068,1.4167055197437115e-10,3.4773680939163827e-10,True
CCS,5.3078743868084315,5.795329525995774,-0.4874551391873423,-6.584435207457278,2.5913063742063296e-09,6.083936704658339e-09,True
ATP7B,1.4611822359578504,1.8231481002444783,-0.3619658642866279,-5.826350316229069,8.722955571734042e-08,1.9626650036401594e-07,True
