	SLC31A1	SLC31A2	ATP7A	ATP7B	ATOX1	CCS	COX11	COX17	SCO1	SCO2	COMMD1	CUTC	AOC1	AOC2	AOC3	CP	DBH	ENOX1	ENOX2	HEPH	HEPHL1	LOX	LOXL1	LOXL2	LOXL3	LOXL4	MAP2K1	MEMO1	MOXD1	MOXD2P	MT-CO1	MT-CO2	PAM	PARK7	SOD1	SOD3	TYR	TYRP1	AFP	ALB	APP	CUTA	F5	GPC1	LTF	MT3	MT4	PRNP	S100A5	S100A12	S100A13	S100B	SNCA	SPARC
SLC31A1	0.0	0.0	0.0	0.40293661946260206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5658580235274537	0.5285158604916929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3978062433672662	0.0	0.0	0.0	0.4197844755422147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49709121200948436	0.0	0.0	0.43046778614221964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45748614329522297	0.0	0.0	0.0
SLC31A2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATP7A	0.0	0.0	0.0	0.0	0.5724995130088557	0.5815486020175532	0.0	0.5781742686906014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5187968854377457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATP7B	0.40293661946260206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4094059319040744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38775374619946873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39592925692692627	0.0	0.0	0.0
ATOX1	0.0	0.0	0.5724995130088557	0.0	0.0	0.6376503959067321	0.0	0.6358769466368724	0.0	0.0	0.6839298749171413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44916476989269094	0.0	0.0	0.0	0.0	0.0	0.0	0.5268509947913927	0.6003525556395233	0.0	0.0	0.0	0.0	0.0	0.4454852478442935	0.6400065209939094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCS	0.0	0.0	0.5815486020175532	0.0	0.6376503959067321	0.0	0.0	0.5816495708152009	0.0	0.0	0.6516635360991073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43165011417220633	0.0	0.5106354643941168	0.6943474172572819	0.0	0.0	0.0	0.0	0.0	0.0	0.4455088592068303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COX11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COX17	0.0	0.0	0.5781742686906014	0.0	0.6358769466368724	0.5816495708152009	0.0	0.0	0.0	0.0	0.6150519850511799	0.3539427698555723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4086550493506186	0.0	0.5102729706641717	0.5554064142884919	0.0	0.0	0.0	0.0	0.0	0.0	0.5656451668474148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44546528784284106	0.0	0.0	0.0
SCO1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCO2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COMMD1	0.0	0.0	0.0	0.0	0.6839298749171413	0.6516635360991073	0.0	0.6150519850511799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5455993807051145	0.5305455917976852	0.0	0.0	0.0	0.0	0.0	0.0	0.5085247006425048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CUTC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3539427698555723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
