source	target	weight	edge_type
SLC31A1	CP	0.5658580235274537	coexpression
SLC31A1	DBH	0.5285158604916929	coexpression
SLC31A1	ALB	0.49709121200948436	coexpression
SLC31A1	S100A13	0.45748614329522297	coexpression
SLC31A1	ATP7B	0.40293661946260206	coexpression
SLC31A1	MAP2K1	0.3978062433672662	coexpression
SLC31A1	MT-CO1	0.4197844755422147	coexpression
SLC31A1	F5	0.43046778614221964	coexpression
ATP7A	CCS	0.5815486020175532	coexpression
ATP7A	COX17	0.5781742686906014	coexpression
ATP7A	ATOX1	0.5724995130088557	coexpression
ATP7A	ENOX2	0.5187968854377457	coexpression
ATP7B	DBH	0.4094059319040744	coexpression
ATP7B	S100A13	0.39592925692692627	coexpression
ATP7B	F5	0.38775374619946873	coexpression
ATOX1	COMMD1	0.6839298749171413	coexpression
ATOX1	CUTA	0.6400065209939094	coexpression
ATOX1	CCS	0.6376503959067321	coexpression
ATOX1	COX17	0.6358769466368724	coexpression
ATOX1	MAP2K1	0.44916476989269094	coexpression
ATOX1	PARK7	0.5268509947913927	coexpression
ATOX1	SOD1	0.6003525556395233	coexpression
ATOX1	APP	0.4454852478442935	coexpression
CCS	SOD1	0.6943474172572819	coexpression
CCS	COMMD1	0.6516635360991073	coexpression
CCS	COX17	0.5816495708152009	coexpression
CCS	MT-CO2	0.43165011417220633	coexpression
CCS	PARK7	0.5106354643941168	coexpression
CCS	CUTA	0.4455088592068303	coexpression
COX17	COMMD1	0.6150519850511799	coexpression
COX17	CUTC	0.3539427698555723	coexpression
COX17	MT-CO2	0.4086550493506186	coexpression
COX17	PARK7	0.5102729706641717	coexpression
COX17	SOD1	0.5554064142884919	coexpression
COX17	CUTA	0.5656451668474148	coexpression
COX17	S100A13	0.44546528784284106	coexpression
COMMD1	PARK7	0.5455993807051145	coexpression
COMMD1	SOD1	0.5305455917976852	coexpression
COMMD1	CUTA	0.5085247006425048	coexpression
AOC3	HEPH	0.5616857348154917	coexpression
AOC3	SPARC	0.4951838440317351	coexpression
AOC3	DBH	0.37588125988389276	coexpression
AOC3	CUTA	0.360993853275505	coexpression
CP	ALB	0.4887089551119404	coexpression
CP	DBH	0.43084440056159057	coexpression
CP	F5	0.3665355886113483	coexpression
DBH	MAP2K1	0.5200434040844544	coexpression
DBH	MT-CO1	0.41222982227296184	coexpression
DBH	S100A12	0.377679291850637	coexpression
HEPH	SPARC	0.7748019257329469	coexpression
HEPH	LOXL1	0.7652161485312614	coexpression
HEPH	MOXD1	0.7567920113058261	coexpression
HEPH	SOD3	0.6428199087131051	coexpression
HEPH	LOXL2	0.5136655944045195	coexpression
HEPH	PAM	0.5413591800622278	coexpression
HEPH	APP	0.4037962046157636	coexpression
HEPH	SNCA	0.41816848479487545	coexpression
LOX	LOXL2	0.5074915850905278	coexpression
LOX	SPARC	0.37969880747346296	coexpression
LOX	LOXL3	0.3766300995884858	coexpression
LOX	SOD1	0.368697283445502	coexpression
LOXL1	MOXD1	0.7915036653630451	coexpression
LOXL1	SPARC	0.7292195902519879	coexpression
LOXL1	SOD3	0.6420812101341209	coexpression
LOXL1	LOXL2	0.6302754921742961	coexpression
LOXL1	LOXL3	0.5525558864672437	coexpression
LOXL1	PAM	0.45505533151541083	coexpression
LOXL1	GPC1	0.3756916645917862	coexpression
LOXL1	S100A5	0.36301013040531427	coexpression
LOXL2	SPARC	0.8077856994774563	coexpression
LOXL2	LOXL3	0.5285313276545197	coexpression
LOXL2	ALB	0.43695101605880693	coexpression
LOXL3	S100B	0.5656430726643954	coexpression
LOXL3	MOXD1	0.5383854304075281	coexpression
LOXL3	PAM	0.4938262876292664	coexpression
LOXL3	F5	0.4433622029756383	coexpression
LOXL3	SNCA	0.4655364538421425	coexpression
LOXL4	SOD3	0.40111503864289605	coexpression
MAP2K1	CUTA	0.3913168494678361	coexpression
MAP2K1	APP	0.36861235329703773	coexpression
MAP2K1	S100A12	0.37316759589385123	coexpression
MOXD1	SPARC	0.6263430134051655	coexpression
MOXD1	SOD3	0.6101566063589875	coexpression
MOXD1	GPC1	0.35133403003295727	coexpression
MOXD1	S100B	0.40293431258463763	coexpression
MT-CO1	MT-CO2	0.7776077035138556	coexpression
MT-CO2	SOD1	0.4853195132469531	coexpression
PAM	SPARC	0.49033505054189436	coexpression
PAM	SNCA	0.4318670737588902	coexpression
SOD3	SPARC	0.5468213864317112	coexpression
SOD3	GPC1	0.37336367096455503	coexpression
TYR	TYRP1	0.41786906957115205	coexpression
TYR	SNCA	0.4022871312888122	coexpression
ALB	F5	0.5074198757049445	coexpression
APP	CUTA	0.406210342364568	coexpression
F5	SNCA	0.39140193486652086	coexpression
F5	S100A5	0.3590119938478816	coexpression
S100A5	S100A13	0.3535523493623942	coexpression
