source	target	weight	edge_type
SLC31A1	ATOX1	1.0	physical
SLC31A1	CCS	1.0	physical
SLC31A2	ATOX1	1.0	physical
ATP7A	ATOX1	1.0	physical
ATP7A	ATP7B	1.0	physical
ATP7A	PRNP	0.5	shared_compartment
ATP7B	ATOX1	1.0	physical
ATP7B	COMMD1	1.0	physical
ATP7B	CP	1.0	physical
ATP7B	AFP	1.0	coexpression
ATP7B	PRNP	0.5	shared_compartment
ATOX1	SOD3	1.0	genetic
CCS	SOD1	1.0	physical
COX11	COX17	1.0	physical
COX11	MT-CO1	1.0	physical
COX17	SCO1	1.0	physical
COX17	SCO2	1.0	physical
SCO1	MT-CO1	1.0	physical
SCO2	MT-CO2	1.0	physical
COMMD1	CUTA	1.0	physical
CUTC	CUTA	1.0	coexpression
AOC1	AOC2	1.0	coexpression
AOC1	AOC3	1.0	coexpression
AOC2	AOC3	1.0	coexpression
CP	HEPH	1.0	physical
CP	HEPHL1	1.0	physical
CP	LTF	1.0	coexpression
CP	ALB	1.0	coexpression
DBH	TYR	1.0	coexpression
DBH	TYRP1	1.0	coexpression
LOX	LOXL1	1.0	coexpression
LOX	LOXL2	1.0	coexpression
LOX	LOXL3	1.0	coexpression
LOX	LOXL4	1.0	coexpression
LOX	SPARC	1.0	physical
LOXL1	LOXL2	1.0	coexpression
LOXL1	SPARC	1.0	physical
LOXL2	LOXL3	1.0	coexpression
LOXL3	LOXL4	1.0	coexpression
MAP2K1	MEMO1	1.0	genetic
MAP2K1	S100A12	0.5	shared_compartment
MEMO1	SPARC	1.0	genetic
MOXD1	MOXD2P	1.0	coexpression
MT-CO1	MT-CO2	1.0	physical
PARK7	SOD1	1.0	genetic
SOD1	SOD3	1.0	coexpression
TYR	TYRP1	1.0	physical
ALB	LTF	1.0	coexpression
ALB	F5	1.0	coexpression
APP	PRNP	1.0	physical
APP	SNCA	1.0	physical
GPC1	SPARC	1.0	physical
MT3	MT4	1.0	coexpression
PRNP	SNCA	1.0	physical
S100A5	S100A12	1.0	coexpression
S100A5	S100A13	1.0	coexpression
S100A5	S100B	1.0	coexpression
S100A12	S100A13	1.0	coexpression
S100A12	S100B	1.0	coexpression
S100A13	S100B	1.0	coexpression
