gene_symbol,importance
CP,2.2782252013683317
SOD1,1.6805379697680474
MT-CO1,1.612811348438263
MAP2K1,1.5851895356178283
ATOX1,1.3348258191347122
MT-CO2,1.292451400756836
H3-3B,1.180106168985367
LOXL4,1.0061987705528737
LOX,1.0048976635932922
ATP7B,0.969597470164299
ALB,0.8597669133543968
AOC3,0.7414322590827942
DBH,0.7216408550739288
LOXL1,0.7090881428122521
COMMD1,0.6672339883446693
CUTC,0.6091594651341439
LOXL2,0.6082599550485611
ATP7A,0.5502504782378673
H3-3A,0.5301904271543026
MEMO1,0.5228570802509784
S100A12,0.5185747906565666
MOXD1,0.49116389006376265
MOXD2P,0.4807952722907066
AOC2,0.4454289348423481
TYRP1,0.414735888838768
PRNP,0.4079459570348263
AOC1,0.40702412381768227
SLC31A1,0.4063271163031459
SPARC,0.40127351999282834
MT3,0.3773339942097664
LOXL3,0.36179539158940316
TYR,0.3556228141486645
MT4,0.35322286158800126
SOD3,0.3497254580259323
PARK7,0.3401048831641674
H3C1,0.3216422016918659
APP,0.3148617127537727
LTF,0.3146055015176535
PAM,0.305859649181366
ENOX1,0.298374864757061
SCO1,0.28628094907850027
S100A13,0.2850456067174673
ENOX2,0.2782222577929497
CUTA,0.25625369675457477
S100B,0.25434477552771567
CCS,0.24993127062916756
SNCA,0.24214842095971106
AFP,0.23902049262076616
COX11,0.23623980863019825
S100A5,0.22868298918008803
H4C1,0.21821241296827792
GPC1,0.21704041607677937
SCO2,0.21684578038752078
COX17,0.20028089332859964
F5,0.17215350583195688
SLC31A2,0.16892623187974096
HEPH,0.1576134380698204
HEPHL1,0.13907335624098777
