source,target,attention_mean,attention_std,attention_rank
PAM,PAM,1.0,0.0,1
ENOX1,ENOX1,1.0,0.0,2
ENOX2,ENOX2,1.0,0.0,3
COX17,COX11,0.6529708831233472,0.27319009202806016,4
COX17,SCO2,0.6515463404557574,0.2618291898492066,5
COX17,SCO1,0.6448395404508781,0.27671840732621966,6
SOD1,PARK7,0.6378132817909165,0.11830972959954326,7
CP,HEPH,0.6365631455965013,0.19790654861756185,8
CP,HEPHL1,0.636385308803769,0.19203972806149314,9
SLC31A2,SLC31A2,0.622133737168459,0.24763493097992698,10
COX17,COX17,0.6167727019865483,0.29924191347288526,11
AFP,AFP,0.6107525759787542,0.29978769157800494,12
CUTA,CUTC,0.5924888039514806,0.15773313587892754,13
ALB,F5,0.5861582604014001,0.1390987557207106,14
ATOX1,SOD3,0.5684669460129943,0.2064327834719863,15
SPARC,GPC1,0.5184651219998526,0.14170282276770663,16
MOXD1,MOXD2P,0.5012208947479554,0.02088359047672151,17
MOXD1,MOXD1,0.5012208940648076,0.020883590491101924,18
MT3,MT3,0.5002518795793582,0.0073687498423248106,19
MT3,MT4,0.5002518791523909,0.007368750284804596,20
MT4,MT4,0.4997481209330026,0.0073687524588684,21
MOXD2P,MOXD2P,0.4987791077711521,0.02088359171161911,24
PRNP,APP,0.49595001117355675,0.1989593691715285,25
PRNP,SNCA,0.4949907806320356,0.19822039640046527,26
SLC31A1,CCS,0.48969029816652093,0.1731987849755814,27
GPC1,GPC1,0.4815348779361023,0.14170282237836682,28
CP,LTF,0.4370449896965891,0.1377785716294267,29
ATP7A,PRNP,0.431689120327179,0.30827901662211205,30
ATOX1,H3C1,0.43115772305718253,0.22303836269334607,31
F5,F5,0.41384173597190477,0.13909875494412188,32
CUTC,CUTC,0.4075111978898161,0.15773313524905838,33
LOX,LOXL4,0.39931646330991927,0.15460311251277248,34
COMMD1,CUTA,0.39905312706807755,0.21211746800713688,35
ATP7B,AFP,0.3892474251405341,0.29978769353477847,36
ATP7A,ATP7A,0.38217170323101124,0.271606149787642,37
MAP2K1,MEMO1,0.38121009910497783,0.19436347418280275,38
MAP2K1,MAP2K1,0.3804962958991768,0.149676461238007,39
ATOX1,SLC31A2,0.37786626223218667,0.2476349311299525,40
ATOX1,H3-3B,0.3680032100314995,0.21235442111048303,41
SPARC,MEMO1,0.3672143427353555,0.1746550480480614,42
ATOX1,SLC31A1,0.3653841242574444,0.17882172927197346,43
CP,ALB,0.3637419338493755,0.14154482680803113,44
HEPHL1,HEPHL1,0.36361469055775464,0.19203972745277895,45
HEPH,HEPH,0.36343685581668794,0.1979065496098513,46
PARK7,PARK7,0.3621867171950361,0.11830973034775402,47
CUTA,CUTA,0.3453460572965251,0.1364143667937149,49
AOC3,AOC1,0.3420344489522513,0.013943178036306323,50
AOC3,AOC2,0.34202517846593883,0.013937116897055634,51
AOC3,AOC3,0.3420222659507249,0.013935926187185041,52
DBH,DBH,0.3358241742354068,0.01880847777686696,53
DBH,TYR,0.3354953226011599,0.013023640602923216,54
DBH,TYRP1,0.33549530202133265,0.013023304848837269,55
COMMD1,COMMD1,0.3336818527489004,0.18232354199005726,56
TYRP1,TYRP1,0.33237965255548757,0.006625691417666865,57
TYRP1,TYR,0.3323796423936642,0.00662585347453962,58
TYR,TYR,0.3321250366703487,0.007392804901986811,61
