source,target,attention_mean
SOD1,PARK7,0.797804700525579
ALB,F5,0.7887925597863075
CP,HEPH,0.7724744903476092
CP,HEPHL1,0.7512441125503584
ATOX1,SOD3,0.7502670288939872
COX17,COX11,0.68783187499019
COX17,SCO1,0.632681115138155
ATOX1,SLC31A1,0.5460318731501655
COX17,SCO2,0.5438567279573839
SPARC,GPC1,0.5254709115171843
SLC31A1,CCS,0.5235522029905402
CUTA,CUTC,0.5208785224140203
MOXD2P,MOXD1,0.5048943282369215
ATOX1,H3C1,0.5042902897659124
MT4,MT3,0.5004758707602591
ATOX1,SLC31A2,0.49490126512709864
S100A12,MAP2K1,0.48190059916337785
ATOX1,H3-3B,0.46876680084042527
H3C1,H4C1,0.4668813854413251
ATP7B,COMMD1,0.45885589697470297
ATP7B,AFP,0.4300145114395757
MAP2K1,MEMO1,0.3952793955701513
LOX,LOXL4,0.39383344369324025
CP,LTF,0.39198476765678403
COMMD1,CUTA,0.37962379292678355
SPARC,MEMO1,0.371978219761313
ATOX1,H3-3A,0.34652451165607545
PRNP,SNCA,0.34443767506490464
PRNP,APP,0.3444250026413568
AOC2,AOC1,0.3380403178810732
AOC2,AOC3,0.33803750792342135
TYRP1,DBH,0.3353938222956179
TYRP1,TYR,0.33536274009584355
TYR,DBH,0.3337876172496118
CP,ALB,0.33322091603432824
SNCA,APP,0.33231611886491363
AOC1,AOC3,0.3312391655834493
SPARC,LOXL1,0.31068538153880304
LOX,LOXL3,0.3097223824471833
LOXL3,LOXL4,0.30072301111709765
ALB,LTF,0.2984383306265902
MT-CO2,MT-CO1,0.2939386342606777
SCO2,MT-CO2,0.29016422181467616
ATP7B,CP,0.28692031023025855
LOX,LOXL2,0.2837175486721419
ATOX1,ATP7A,0.27695805731280854
H3-3B,SOD1,0.2667834375982298
LOXL1,LOXL2,0.2628208843852396
S100A5,S100B,0.25911147683261115
S100A5,S100A13,0.2589777804975182
S100B,S100A13,0.2589268387217918
LOX,LOXL1,0.24977508052799285
PRNP,ATP7A,0.23502831803608076
LOXL3,LOXL2,0.23060023478288363
ATP7B,ATP7A,0.22889466808003409
S100A12,S100A5,0.22540939150959852
S100A12,S100A13,0.22531136261955714
S100A12,S100B,0.22494718650179812
SPARC,LOX,0.2241715155888808
H3C1,H3-3B,0.21812260357638352
SOD1,CCS,0.214260223254903
ATP7B,PRNP,0.20461826318244136
SCO1,MT-CO1,0.19227679809261872
SOD3,SOD1,0.17911208326925648
H3-3B,H4C1,0.17631801098243555
H3-3A,MT-CO2,0.16656330472824396
MT-CO1,COX11,0.16559314789508445
ATOX1,ATP7B,0.16503098077073367
H3-3A,MT-CO1,0.15457518700574308
H3C1,H3-3A,0.14963883010880358
H3-3A,SOD1,0.13134560043814147
H3-3A,SLC31A1,0.11046901971852623
H3-3A,H4C1,0.10921007052749758
H3-3B,H3-3A,0.06935816389905658
