gene,saliency,direction,abs_saliency,saliency_rank
ATOX1,-0.018886506147175644,→ early,0.018886506147175644,1
ATP7B,-0.012428695477599592,→ early,0.012428695477599592,2
SPARC,-0.010338616096355,→ early,0.010338616096355,3
COX17,-0.010233365822624131,→ early,0.010233365822624131,4
SCO2,-0.008605109152150937,→ early,0.008605109152150937,5
ALB,-0.007172406656020635,→ early,0.007172406656020635,6
ATP7A,-0.006542175675406758,→ early,0.006542175675406758,7
SCO1,-0.00631456989979266,→ early,0.00631456989979266,8
SLC31A1,-0.0060803916683309376,→ early,0.0060803916683309376,9
S100A13,-0.005711540943280998,→ early,0.005711540943280998,10
SLC31A2,-0.005680266995134773,→ early,0.005680266995134773,11
CUTA,-0.005575369920338262,→ early,0.005575369920338262,12
SOD1,-0.004931159454464904,→ early,0.004931159454464904,13
COX11,-0.0048418535642196165,→ early,0.0048418535642196165,14
APP,-0.0045626923152500805,→ early,0.0045626923152500805,15
PRNP,-0.004154441674097011,→ early,0.004154441674097011,16
MT-CO1,-0.003741819084052492,→ early,0.003741819084052492,17
CCS,-0.0033781079610657786,→ early,0.0033781079610657786,18
MT-CO2,-0.003212248762175402,→ early,0.003212248762175402,19
CUTC,-0.003090497881876843,→ early,0.003090497881876843,20
COMMD1,-0.003014211861368247,→ early,0.003014211861368247,21
H3-3B,-0.002843770379690652,→ early,0.002843770379690652,22
LTF,-0.002757707884746165,→ early,0.002757707884746165,23
MT3,-0.002553555639048309,→ early,0.002553555639048309,24
AOC3,-0.0024881483571407652,→ early,0.0024881483571407652,25
LOX,0.0022940008277255713,→ late,0.0022940008277255713,26
MEMO1,0.002030670641289182,→ late,0.002030670641289182,27
MT4,-0.0019849346047998875,→ early,0.0019849346047998875,28
SNCA,-0.0019360976307729403,→ early,0.0019360976307729403,29
GPC1,-0.0019109746330655474,→ early,0.0019109746330655474,30
S100A12,-0.0019014237064599565,→ early,0.0019014237064599565,31
MAP2K1,-0.0018931940543751987,→ early,0.0018931940543751987,32
AFP,-0.0018248587935954217,→ early,0.0018248587935954217,33
LOXL3,0.0016667669860751704,→ late,0.0016667669860751704,34
LOXL1,0.001663990803470703,→ late,0.001663990803470703,35
S100B,-0.0015753754012668266,→ early,0.0015753754012668266,36
AOC1,0.0015200617705513884,→ late,0.0015200617705513884,37
S100A5,-0.00143865372764761,→ early,0.00143865372764761,38
AOC2,0.00142539178591147,→ late,0.00142539178591147,39
TYR,0.001218514168636637,→ late,0.001218514168636637,40
TYRP1,0.0011034965075659888,→ late,0.0011034965075659888,41
CP,-0.001100416111460339,→ early,0.001100416111460339,42
DBH,-0.0009505087206295416,→ early,0.0009505087206295416,43
HEPHL1,0.0007810035098556263,→ late,0.0007810035098556263,44
HEPH,0.0007204861272438155,→ late,0.0007204861272438155,45
PAM,-0.0006967783182931806,→ early,0.0006967783182931806,46
MOXD2P,0.0005548614169720559,→ late,0.0005548614169720559,47
F5,-0.0004516052305604279,→ early,0.0004516052305604279,48
MOXD1,-0.00037759024925523973,→ early,0.00037759024925523973,49
LOXL2,0.00022667813535110748,→ late,0.00022667813535110748,50
H4C1,0.00020450423215101298,→ late,0.00020450423215101298,51
H3-3A,0.00015462454567512755,→ late,0.00015462454567512755,52
ENOX1,-8.060060107863186e-05,→ early,8.060060107863186e-05,53
LOXL4,-6.721369011973204e-05,→ early,6.721369011973204e-05,54
H3C1,-6.131099252783534e-05,→ early,6.131099252783534e-05,55
PARK7,-4.689041224829377e-05,→ early,4.689041224829377e-05,56
SOD3,-3.22296078247407e-05,→ early,3.22296078247407e-05,57
ENOX2,-2.5701608411381676e-05,→ early,2.5701608411381676e-05,58
