gene,saliency_late,saliency_early,differential,direction,abs_differential,saliency_rank
ATP7A,-0.02280134636352563,-0.0687190490541446,0.04591770269061897,→ late,0.04591770269061897,1
LTF,-0.04120964469168232,-0.06496358370131086,0.023753939009628543,→ late,0.023753939009628543,2
SCO2,-0.038393853826306036,-0.0617670117113083,0.023373157885002264,→ late,0.023373157885002264,3
S100A12,-0.03659914889657456,-0.05160946452753748,0.015010315630962917,→ late,0.015010315630962917,4
ATP7B,-0.05822009115298796,-0.07152520567016914,0.01330511451718118,→ late,0.01330511451718118,5
SLC31A2,-0.02119956959113362,-0.03446536692865413,0.01326579733752051,→ late,0.01326579733752051,6
COX11,-0.018204557328459083,-0.03126933784760098,0.013064780519141894,→ late,0.013064780519141894,7
SLC31A1,-0.02375539118171825,-0.03482396281840667,0.01106857163668842,→ late,0.01106857163668842,8
SPARC,-0.028931260200139756,-0.03910587280139176,0.010174612601252003,→ late,0.010174612601252003,9
SCO1,-0.024514699057261977,-0.033914163569277796,0.009399464512015818,→ late,0.009399464512015818,10
PRNP,-0.023144016053993254,-0.032423074919679634,0.00927905886568638,→ late,0.00927905886568638,11
H3-3A,-0.01272815176505699,-0.020984323822392483,0.008256172057335493,→ late,0.008256172057335493,12
AFP,-0.011720876335376652,-0.019866957700006533,0.008146081364629881,→ late,0.008146081364629881,13
S100A5,-0.01313482109140346,-0.020639461140177784,0.007504640048774323,→ late,0.007504640048774323,14
S100B,-0.018265601372372153,-0.02539356437494156,0.0071279630025694075,→ late,0.0071279630025694075,15
SNCA,-0.017916325720984283,-0.024496803036470942,0.006580477315486659,→ late,0.006580477315486659,16
CUTA,-0.011381075626316791,-0.0176344513331137,0.006253375706796908,→ late,0.006253375706796908,17
MT3,-0.01885542583752087,-0.024871347209800065,0.006015921372279194,→ late,0.006015921372279194,18
ATOX1,-0.06842096714147677,-0.0743303250689527,0.0059093579274759195,→ late,0.0059093579274759195,19
MT4,-0.013658098999359127,-0.019002819593752978,0.005344720594393851,→ late,0.005344720594393851,20
LOX,-0.008754614143981598,-0.013842747188890154,0.005088133044908556,→ late,0.005088133044908556,21
GPC1,-0.012934677084251374,-0.018020513953968503,0.00508583686971713,→ late,0.00508583686971713,22
AOC2,-0.007629938510298315,-0.012540832735706749,0.004910894225408434,→ late,0.004910894225408434,23
LOXL3,-0.00865308032274091,-0.013487733467416855,0.004834653144675946,→ late,0.004834653144675946,24
MOXD2P,-0.0071744559520286405,-0.011890879671631424,0.004716423719602784,→ late,0.004716423719602784,25
AOC1,-0.008351147965812641,-0.01296870953473195,0.004617561568919308,→ late,0.004617561568919308,26
MEMO1,-0.002695711106837785,-0.007307040043632859,0.004611328936795074,→ late,0.004611328936795074,27
S100A13,-0.02218285374627966,-0.026700783935638458,0.004517930189358799,→ late,0.004517930189358799,28
ALB,-0.018735641113016753,-0.02320542564825964,0.004469784535242886,→ late,0.004469784535242886,29
APP,-0.014705770143902758,-0.018420924772691607,0.003715154628788849,→ late,0.003715154628788849,30
TYRP1,-0.008516276030180354,-0.012086673650277498,0.0035703976200971432,→ late,0.0035703976200971432,31
TYR,-0.0079395032067421,-0.01144649345912291,0.0035069902523808105,→ late,0.0035069902523808105,32
PAM,-0.008054758989924773,-0.011414754839623472,0.0033599958496986996,→ late,0.0033599958496986996,33
COMMD1,-0.019726896670181304,-0.022361827498701,0.002634930828519698,→ late,0.002634930828519698,34
CCS,-0.023370745278791422,-0.02591590944908624,0.002545164170294819,→ late,0.002545164170294819,35
ENOX2,-0.008544783009630111,-0.010991009827566145,0.002446226817936034,→ late,0.002446226817936034,36
LOXL2,-0.007231710933168264,-0.009646684878067973,0.0024149739448997096,→ late,0.0024149739448997096,37
ENOX1,-0.008774592440264921,-0.011013792351726084,0.0022391999114611625,→ late,0.0022391999114611625,38
H3C1,-0.006461138935224477,-0.008662368584494826,0.002201229649270349,→ late,0.002201229649270349,39
CUTC,-0.015147713047917932,-0.017076519596293565,0.001928806548375633,→ late,0.001928806548375633,40
MAP2K1,-0.004665855507927416,-0.006411764292387134,0.0017459087844597177,→ late,0.0017459087844597177,41
SOD1,-0.00773686190069485,-0.006070558516845991,-0.001666303383848859,→ early,0.001666303383848859,42
H3-3B,-0.010931656223935231,-0.012570766099447855,0.001639109875512624,→ late,0.001639109875512624,43
MOXD1,-0.01183583549427567,-0.013426519750402143,0.0015906842561264727,→ late,0.0015906842561264727,44
CP,-0.014089826146502876,-0.012613606763354192,-0.0014762193831486838,→ early,0.0014762193831486838,45
COX17,-0.030753421363543667,-0.03221135534450383,0.0014579339809601653,→ late,0.0014579339809601653,46
LOXL4,-0.009764162401390624,-0.011138655023036244,0.0013744926216456201,→ late,0.0013744926216456201,47
PARK7,-0.0014084837062707974,-0.002723993599222055,0.0013155098929512575,→ late,0.0013155098929512575,48
SOD3,-0.008505785211067025,-0.009783537100305427,0.0012777518892384022,→ late,0.0012777518892384022,49
H4C1,-0.007111725531417,-0.008325409932972452,0.0012136844015554517,→ late,0.0012136844015554517,50
AOC3,-0.013715603395313438,-0.014149269763112062,0.0004336663677986241,→ late,0.0004336663677986241,51
MT-CO1,-0.005089170194090305,-0.005501522660069966,0.0004123524659796606,→ late,0.0004123524659796606,52
MT-CO2,-0.007114647562977755,-0.006820773536723258,-0.00029387402625449636,→ early,0.00029387402625449636,53
HEPHL1,-0.00525967975958742,-0.0050484109580133125,-0.00021126880157410714,→ early,0.00021126880157410714,54
LOXL1,-0.00739468274728602,-0.007595410502139181,0.00020072775485316125,→ late,0.00020072775485316125,55
F5,-0.00872141064503214,-0.0085338107170686,-0.00018759992796353944,→ early,0.00018759992796353944,56
DBH,-0.014234282820123352,-0.014338695326121973,0.00010441250599862138,→ late,0.00010441250599862138,57
HEPH,-0.006453612335462822,-0.00643849372644648,-1.5118609016341426e-05,→ early,1.5118609016341426e-05,58
