,gene_symbol,ID,n.spot,ENTREZID,GENENAME,logFC,AveExpr,FC_AvsC,P.Value,adj.P.Val,sig1.3_codes,A1,A2,A2_R,A3,C1,C2,C3,C4,BP,CC,MF,KEGGpathway,Name,GeneName,abs_fc
18,ZFAND2A,A_23_P336992,1,90637.0,zinc finger AN1-type containing 2A,2.67257625970984,9.99239888164759,6.37566691218742,7.839149181812361e-19,1.2674336397154201e-15,1,11.3079112225503,11.2752657062245,11.3093026485603,11.2766571322345,8.60113506112928,8.63378057745514,8.63238915144514,8.59974363511929,GO:0032436 positive regulation of proteasomal ubiquitin-dependent protein catabolic process; GO:0071243 cellular response to arsenic-containing substance,GO:0000502 proteasome complex; GO:0005634 nucleus; GO:0005737 cytoplasm,GO:0008270 zinc ion binding,,NM_182491,ZFAND2A,2.67257625970984
49,ZFHX3,A_33_P3231542,1,463.0,zinc finger homeobox 3,-1.75789498955695,8.21732961868793,-3.38204296944694,3.0836891046108304e-14,9.232793600619969e-12,-1,7.35812428894734,7.32285974349646,7.38139211961499,7.34612757416411,9.08245080680192,9.1177153522528,9.09444752158515,9.05918297613426,"GO:0000122 negative regulation of transcription from RNA polymerase II promoter; GO:0006355 regulation of transcription, DNA-templated; GO:0006366 transcription from RNA polymerase II promoter; GO:0007050 cell cycle arrest; GO:0007420 brain development; GO:0007517 muscle organ development; GO:0032922 circadian regulation of gene expression; GO:0045664 regulation of neuron differentiation; GO:0045893 positive regulation of transcription, DNA-templated; GO:0071559 response to transforming growth factor beta; GO:1904059 regulation of locomotor rhythm",GO:0005634 nucleus; GO:0005634 nucleus; GO:0005654 nucleoplasm; GO:0005667 transcription factor complex; GO:0005730 nucleolus; GO:0005737 cytoplasm; GO:0016604 nuclear body; GO:0043231 intracellular membrane-bounded organelle,"GO:0001046 core promoter sequence-specific DNA binding; GO:0003700 transcription factor activity, sequence-specific DNA binding; GO:0003705 transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding; GO:0005515 protein binding; GO:0008270 zinc ion binding; GO:0019899 enzyme binding",04550 Signaling pathways regulating pluripotency of stem cells,NM_006885,ZFHX3,1.75789498955695
72,ZMYND8,A_33_P3619221,1,23613.0,zinc finger MYND-type containing 8,-1.587047,9.940464,-3.004337,8.050134e-14,2.133681e-11,-1,9.214569,9.149532,9.215825,9.150787,10.72048,10.78552,10.78426,10.71923,"GO:0000122 negative regulation of transcription from RNA polymerase II promoter; GO:0006355 regulation of transcription, DNA-templated; GO:0051491 positive regulation of filopodium assembly; GO:0060999 positive regulation of dendritic spine development; GO:0098815 modulation of excitatory postsynaptic potential; GO:1902897 regulation of postsynaptic density protein 95 clustering; GO:1902952 positive regulation of dendritic spine maintenance",GO:0005634 nucleus; GO:0005634 nucleus; GO:0005737 cytoplasm; GO:0043197 dendritic spine; GO:0043198 dendritic shaft,GO:0000977 RNA polymerase II regulatory region sequence-specific DNA binding; GO:0001106 RNA polymerase II transcription corepressor activity; GO:0003682 chromatin binding; GO:0003712 transcription cofactor activity; GO:0005515 protein binding; GO:0008270 zinc ion binding; GO:0042393 histone binding; GO:0047485 protein N-terminus binding; GO:0070491 repressing transcription factor binding,,NM_183047,ZMYND8,1.587047
159,ZMIZ1,A_23_P138435,1,57178.0,zinc finger MIZ-type containing 1,-1.32424877944926,9.97661773253961,-2.50402467603335,3.14720661232632e-12,3.74147327265382e-10,-1,9.33446275606019,9.28539275039322,9.39208576897548,9.34301576330852,10.6625968242563,10.7116668299232,10.6540438170079,10.604973811341,"GO:0001570 vasculogenesis; GO:0001701 in utero embryonic development; GO:0003007 heart morphogenesis; GO:0006351 transcription, DNA-templated; GO:0007296 vitellogenesis; GO:0007569 cell aging; GO:0045944 positive regulation of transcription from RNA polymerase II promoter; GO:0048146 positive regulation of fibroblast proliferation; GO:0048589 developmental growth; GO:0048844 artery morphogenesis",GO:0005654 nucleoplasm; GO:0005737 cytoplasm; GO:0016607 nuclear speck; GO:0043231 intracellular membrane-bounded organelle,GO:0008270 zinc ion binding,,NM_020338,ZMIZ1,1.32424877944926
151,ZFAND5,A_24_P290354,1,7763.0,zinc finger AN1-type containing 5,1.3386441747292,10.0136897043317,2.52913522367797,4.28421117207995e-12,4.63445206417429e-10,1,10.5946535168975,10.6733643601902,10.6274016913047,10.7061125345973,9.3849364869825,9.30622564368984,9.27347746928265,9.35218831257531,GO:0001701 in utero embryonic development; GO:0001944 vasculature development; GO:0003016 respiratory system process; GO:0008150 biological_process; GO:0010761 fibroblast migration; GO:0048008 platelet-derived growth factor receptor signaling pathway; GO:0048705 skeletal system morphogenesis; GO:0048745 smooth muscle tissue development; GO:0060324 face development,GO:0005575 cellular_component; GO:0005737 cytoplasm,GO:0003674 molecular_function; GO:0003677 DNA binding; GO:0008270 zinc ion binding,,NM_006007,ZFAND5,1.3386441747292
205,ZNRF3,A_24_P162373,1,84133.0,zinc and ring finger 3,-1.238011,9.389469,-2.358731,5.258609e-11,3.778719e-09,-1,8.796739,8.902701,8.724691,8.830653,10.03147,9.925512,9.997561,10.10352,"GO:0006511 ubiquitin-dependent protein catabolic process; GO:0016567 protein ubiquitination; GO:0016567 protein ubiquitination; GO:0038018 Wnt receptor catabolic process; GO:0038018 Wnt receptor catabolic process; GO:0060070 canonical Wnt signaling pathway; GO:0060071 Wnt signaling pathway, planar cell polarity pathway; GO:0072089 stem cell proliferation; GO:0090090 negative regulation of canonical Wnt signaling pathway; GO:2000051 negative regulation of non-canonical Wnt signaling pathway",GO:0005886 plasma membrane; GO:0005887 integral component of plasma membrane,GO:0004842 ubiquitin-protein transferase activity; GO:0005109 frizzled binding; GO:0005515 protein binding; GO:0008270 zinc ion binding; GO:0016874 ligase activity; GO:0061630 ubiquitin protein ligase activity,,NM_001206998,ZNRF3,1.238011
177,IKZF2,A_32_P114284,1,22807.0,IKAROS family zinc finger 2,-1.28448241345997,6.8491362117993,-2.43594644152584,2.37498414297216e-10,1.41171851557257e-08,-1,6.14851349219961,6.2065765118963,6.22675717310598,6.28482019280268,7.56523010407993,7.50716708438324,7.42892340347686,7.48698642317356,"GO:0006351 transcription, DNA-templated; GO:0008150 biological_process; GO:0045944 positive regulation of transcription from RNA polymerase II promoter",GO:0005634 nucleus,"GO:0003674 molecular_function; GO:0003700 transcription factor activity, sequence-specific DNA binding; GO:0042803 protein homodimerization activity; GO:0044212 transcription regulatory region DNA binding; GO:0046872 metal ion binding; GO:0046982 protein heterodimerization activity",,NM_001079526,IKZF2,1.28448241345997
207,ZBTB21,A_33_P3384775,1,49854.0,zinc finger and BTB domain containing 21,1.22681880694195,6.44444727427954,2.34050331258628,8.12932677011424e-10,4.25355842133356e-08,1,7.10833259202674,7.0226934818069,7.0978176767093,7.01217856648946,5.75705002802687,5.84268913824671,5.85320405356415,5.76756494334432,"GO:0006351 transcription, DNA-templated; GO:0006355 regulation of transcription, DNA-templated",GO:0005634 nucleus,GO:0008327 methyl-CpG binding; GO:0046872 metal ion binding,,ENST00000398497,ZNF295,1.22681880694195
344,HELZ,A_33_P3257973,1,9931.0,helicase with zinc finger,-1.017272,8.65205,-2.024088,1.787569e-09,8.475489e-08,-1,8.186965,8.175246,8.146083,8.134364,9.138665,9.150384,9.191266,9.179547,,GO:0005634 nucleus; GO:0016020 membrane,GO:0004386 helicase activity; GO:0005524 ATP binding; GO:0044822 poly(A) RNA binding; GO:0046872 metal ion binding,,NM_014877,HELZ,1.017272
240,GLI3,A_33_P3290562,1,2737.0,GLI family zinc finger 3,-1.16850748956999,7.32424525751251,-2.24779036090713,2.08582589440348e-09,9.74671475743222e-08,-1,6.80592000172439,6.68924957198159,6.83046379876179,6.71379336901899,7.85497381630121,7.97164424604401,7.94710044900661,7.83043001926381,"GO:0000122 negative regulation of transcription from RNA polymerase II promoter; GO:0001656 metanephros development; GO:0001658 branching involved in ureteric bud morphogenesis; GO:0001701 in utero embryonic development; GO:0002052 positive regulation of neuroblast proliferation; GO:0006366 transcription from RNA polymerase II promoter; GO:0007224 smoothened signaling pathway; GO:0007411 axon guidance; GO:0007442 hindgut morphogenesis; GO:0007507 heart development; GO:0008285 negative regulation of cell proliferation; GO:0009952 anterior/posterior pattern specification; GO:0009954 proximal/distal pattern formation; GO:0016485 protein processing; GO:0021631 optic nerve morphogenesis; GO:0021766 hippocampus development; GO:0021775 smoothened signaling pathway involved in ventral spinal cord interneuron specification; GO:0021776 smoothened signaling pathway involved in spinal cord motor neuron cell fate specification; GO:0021798 forebrain dorsal/ventral pattern formation; GO:0021819 layer formation in cerebral cortex; GO:0021861 forebrain radial glial cell differentiation; GO:0022018 lateral ganglionic eminence cell proliferation; GO:0030318 melanocyte differentiation; GO:0030324 lung development; GO:0032332 positive regulation of chondrocyte differentiation; GO:0033077 T cell differentiation in thymus; GO:0035108 limb morphogenesis; GO:0042060 wound healing; GO:0042307 positive regulation of protein import into nucleus; GO:0042475 odontogenesis of dentin-containing tooth; GO:0042733 embryonic digit morphogenesis; GO:0043066 negative regulation of apoptotic process; GO:0043585 nose morphogenesis; GO:0043586 tongue development; GO:0043627 response to estrogen; GO:0045060 negative thymic T cell selection; GO:0045665 negative regulation of neuron differentiation; GO:0045669 positive regulation of osteoblast differentiation; GO:0045879 negative regulation of smoothened signaling pathway; GO:0045892 negative regulation of transcription, DNA-templated; GO:0045893 positive regulation of transcription, DNA-templated; GO:0045944 positive regulation of transcription from RNA polymerase II promoter; GO:0045944 positive regulation of transcription from RNA polymerase II promoter; GO:0046638 positive regulation of alpha-beta T cell differentiation; GO:0046639 negative regulation of alpha-beta T cell differentiation; GO:0048557 embryonic digestive tract morphogenesis; GO:0048566 embryonic digestive tract development; GO:0048589 developmental growth; GO:0048593 camera-type eye morphogenesis; GO:0048704 embryonic skeletal system morphogenesis; GO:0048709 oligodendrocyte differentiation; GO:0060021 palate development; GO:0060364 frontal suture morphogenesis; GO:0060366 lambdoid suture morphogenesis; GO:0060367 sagittal suture morphogenesis; GO:0060594 mammary gland specification; GO:0060831 smoothened signaling pathway involved in dorsal/ventral neural tube patterning; GO:0060840 artery development; GO:0060873 anterior semicircular canal development; GO:0060875 lateral semicircular canal development; GO:0061005 cell differentiation involved in kidney development; GO:0070242 thymocyte apoptotic process; GO:0090090 negative regulation of canonical Wnt signaling pathway; GO:1903010 regulation of bone development",GO:0005634 nucleus; GO:0005654 nucleoplasm; GO:0005737 cytoplasm; GO:0005829 cytosol; GO:0005829 cytosol; GO:0005929 cilium; GO:0005930 axoneme; GO:0016592 mediator complex; GO:0016607 nuclear speck; GO:0017053 transcriptional repressor complex; GO:0072372 primary cilium; GO:0097542 ciliary tip; GO:0097546 ciliary base,"GO:0000977 RNA polymerase II regulatory region sequence-specific DNA binding; GO:0000978 RNA polymerase II core promoter proximal region sequence-specific DNA binding; GO:0001077 transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding; GO:0003682 chromatin binding; GO:0003700 transcription factor activity, sequence-specific DNA binding; GO:0005515 protein binding; GO:0008013 beta-catenin binding; GO:0035035 histone acetyltransferase binding; GO:0042826 histone deacetylase binding; GO:0046872 metal ion binding",04024 cAMP signaling pathway; 04340 Hedgehog signaling pathway; 05200 Pathways in cancer; 05217 Basal cell carcinoma,NM_000168,GLI3,1.16850748956999
