gene,saliency_late,saliency_early,differential,direction,abs_differential,saliency_rank,mrna_protein_r,confidence,confidence_note,log2FC_tumor_vs_normal
ATP7A,-0.0228013463635256,-0.0687190490541446,0.0459177026906189,→ late,0.0459177026906189,1,0.29,LOW,LOW r=0.29 — weak mRNA-protein coupling; protein validation required,0.121
LTF,-0.0412096446916823,-0.0649635837013108,0.0237539390096285,→ late,0.0237539390096285,2,0.64,HIGH,HIGH r=0.64 — strong mRNA-protein coupling,0.132
SCO2,-0.038393853826306,-0.0617670117113083,0.0233731578850022,→ late,0.0233731578850022,3,0.32,MEDIUM,MEDIUM r=0.32 — moderate coupling; treat mRNA as indicative,0.088
S100A12,-0.0365991488965745,-0.0516094645275374,0.0150103156309629,→ late,0.0150103156309629,4,,HIGH,HIGH r=nan — strong mRNA-protein coupling,-1.371
ATP7B,-0.0582200911529879,-0.0715252056701691,0.0133051145171811,→ late,0.0133051145171811,5,0.57,HIGH,HIGH r=0.57 — strong mRNA-protein coupling,-0.362
SLC31A2,-0.0211995695911336,-0.0344653669286541,0.0132657973375205,→ late,0.0132657973375205,6,,HIGH,HIGH r=nan — strong mRNA-protein coupling,-0.042
COX11,-0.018204557328459,-0.0312693378476009,0.0130647805191418,→ late,0.0130647805191418,7,0.63,HIGH,HIGH r=0.63 — strong mRNA-protein coupling,0.036
SLC31A1,-0.0237553911817182,-0.0348239628184066,0.0110685716366884,→ late,0.0110685716366884,8,,HIGH,HIGH r=nan — strong mRNA-protein coupling,-1.078
SPARC,-0.0289312602001397,-0.0391058728013917,0.010174612601252,→ late,0.010174612601252,9,0.62,HIGH,HIGH r=0.62 — strong mRNA-protein coupling,0.751
SCO1,-0.0245146990572619,-0.0339141635692777,0.0093994645120158,→ late,0.0093994645120158,10,0.35,MEDIUM,MEDIUM r=0.35 — moderate coupling; treat mRNA as indicative,-0.355
PRNP,-0.0231440160539932,-0.0324230749196796,0.0092790588656863,→ late,0.0092790588656863,11,0.51,HIGH,HIGH r=0.51 — strong mRNA-protein coupling,-1.189
H3-3A,-0.0127281517650569,-0.0209843238223924,0.0082561720573354,→ late,0.0082561720573354,12,,HIGH,HIGH r=nan — strong mRNA-protein coupling,
AFP,-0.0117208763353766,-0.0198669577000065,0.0081460813646298,→ late,0.0081460813646298,13,,HIGH,HIGH r=nan — strong mRNA-protein coupling,1.731
S100A5,-0.0131348210914034,-0.0206394611401777,0.0075046400487743,→ late,0.0075046400487743,14,,HIGH,HIGH r=nan — strong mRNA-protein coupling,0.027
S100B,-0.0182656013723721,-0.0253935643749415,0.0071279630025694,→ late,0.0071279630025694,15,0.66,HIGH,HIGH r=0.66 — strong mRNA-protein coupling,-0.038
SNCA,-0.0179163257209842,-0.0244968030364709,0.0065804773154866,→ late,0.0065804773154866,16,0.27,LOW,LOW r=0.27 — weak mRNA-protein coupling; protein validation required,-0.052
CUTA,-0.0113810756263167,-0.0176344513331137,0.0062533757067969,→ late,0.0062533757067969,17,0.5,HIGH,HIGH r=0.50 — strong mRNA-protein coupling,0.591
MT3,-0.0188554258375208,-0.0248713472098,0.0060159213722791,→ late,0.0060159213722791,18,,HIGH,HIGH r=nan — strong mRNA-protein coupling,0.359
ATOX1,-0.0684209671414767,-0.0743303250689527,0.0059093579274759,→ late,0.0059093579274759,19,0.67,HIGH,HIGH r=0.67 — strong mRNA-protein coupling,0.471
MT4,-0.0136580989993591,-0.0190028195937529,0.0053447205943938,→ late,0.0053447205943938,20,,HIGH,HIGH r=nan — strong mRNA-protein coupling,0.04
LOX,-0.0087546141439815,-0.0138427471888901,0.0050881330449085,→ late,0.0050881330449085,21,0.45,MEDIUM,MEDIUM r=0.45 — moderate coupling; treat mRNA as indicative,0.614
GPC1,-0.0129346770842513,-0.0180205139539685,0.0050858368697171,→ late,0.0050858368697171,22,0.49,MEDIUM,MEDIUM r=0.49 — moderate coupling; treat mRNA as indicative,-0.601
AOC2,-0.0076299385102983,-0.0125408327357067,0.0049108942254084,→ late,0.0049108942254084,23,0.14,LOW,LOW r=0.14 — weak mRNA-protein coupling; protein validation required,0.167
LOXL3,-0.0086530803227409,-0.0134877334674168,0.0048346531446759,→ late,0.0048346531446759,24,0.4,MEDIUM,MEDIUM r=0.40 — moderate coupling; treat mRNA as indicative,0.035
MOXD2P,-0.0071744559520286,-0.0118908796716314,0.0047164237196027,→ late,0.0047164237196027,25,,HIGH,HIGH r=nan — strong mRNA-protein coupling,0.004
AOC1,-0.0083511479658126,-0.0129687095347319,0.0046175615689193,→ late,0.0046175615689193,26,,HIGH,HIGH r=nan — strong mRNA-protein coupling,-1.086
MEMO1,-0.0026957111068377,-0.0073070400436328,0.004611328936795,→ late,0.004611328936795,27,0.57,HIGH,HIGH r=0.57 — strong mRNA-protein coupling,-0.04
S100A13,-0.0221828537462796,-0.0267007839356384,0.0045179301893587,→ late,0.0045179301893587,28,0.64,HIGH,HIGH r=0.64 — strong mRNA-protein coupling,0.347
ALB,-0.0187356411130167,-0.0232054256482596,0.0044697845352428,→ late,0.0044697845352428,29,0.08,LOW,LOW r=0.08 — weak mRNA-protein coupling; protein validation required,-2.383
APP,-0.0147057701439027,-0.0184209247726916,0.0037151546287888,→ late,0.0037151546287888,30,0.71,HIGH,HIGH r=0.71 — strong mRNA-protein coupling,-0.59
TYRP1,-0.0085162760301803,-0.0120866736502774,0.0035703976200971,→ late,0.0035703976200971,31,,HIGH,HIGH r=nan — strong mRNA-protein coupling,0.183
TYR,-0.0079395032067421,-0.0114464934591229,0.0035069902523808,→ late,0.0035069902523808,32,,HIGH,HIGH r=nan — strong mRNA-protein coupling,0.028
PAM,-0.0080547589899247,-0.0114147548396234,0.0033599958496986,→ late,0.0033599958496986,33,,HIGH,HIGH r=nan — strong mRNA-protein coupling,-0.023
COMMD1,-0.0197268966701813,-0.022361827498701,0.0026349308285196,→ late,0.0026349308285196,34,0.14,LOW,LOW r=0.14 — weak mRNA-protein coupling; protein validation required,-0.109
CCS,-0.0233707452787914,-0.0259159094490862,0.0025451641702948,→ late,0.0025451641702948,35,0.41,MEDIUM,MEDIUM r=0.41 — moderate coupling; treat mRNA as indicative,-0.487
ENOX2,-0.0085447830096301,-0.0109910098275661,0.002446226817936,→ late,0.002446226817936,36,-0.15,LOW,NEGATIVE r=-0.15 — mRNA and protein inversely related; claims need protein validation,0.162
LOXL2,-0.0072317109331682,-0.0096466848780679,0.0024149739448997,→ late,0.0024149739448997,37,0.48,MEDIUM,MEDIUM r=0.48 — moderate coupling; treat mRNA as indicative,1.008
ENOX1,-0.0087745924402649,-0.011013792351726,0.0022391999114611,→ late,0.0022391999114611,38,,HIGH,HIGH r=nan — strong mRNA-protein coupling,0.243
H3C1,-0.0064611389352244,-0.0086623685844948,0.0022012296492703,→ late,0.0022012296492703,39,,HIGH,HIGH r=nan — strong mRNA-protein coupling,
CUTC,-0.0151477130479179,-0.0170765195962935,0.0019288065483756,→ late,0.0019288065483756,40,0.4,MEDIUM,MEDIUM r=0.40 — moderate coupling; treat mRNA as indicative,-0.232
MAP2K1,-0.0046658555079274,-0.0064117642923871,0.0017459087844597,→ late,0.0017459087844597,41,0.45,MEDIUM,MEDIUM r=0.45 — moderate coupling; treat mRNA as indicative,-1.022
SOD1,-0.0077368619006948,-0.0060705585168459,-0.0016663033838488,→ early,0.0016663033838488,42,0.3,MEDIUM,MEDIUM r=0.30 — moderate coupling; treat mRNA as indicative,-0.818
H3-3B,-0.0109316562239352,-0.0125707660994478,0.0016391098755126,→ late,0.0016391098755126,43,,HIGH,HIGH r=nan — strong mRNA-protein coupling,
MOXD1,-0.0118358354942756,-0.0134265197504021,0.0015906842561264,→ late,0.0015906842561264,44,,HIGH,HIGH r=nan — strong mRNA-protein coupling,0.141
CP,-0.0140898261465028,-0.0126136067633541,-0.0014762193831486,→ early,0.0014762193831486,45,0.27,LOW,LOW r=0.27 — weak mRNA-protein coupling; protein validation required,-2.064
COX17,-0.0307534213635436,-0.0322113553445038,0.0014579339809601,→ late,0.0014579339809601,46,0.5,HIGH,HIGH r=0.50 — strong mRNA-protein coupling,0.031
LOXL4,-0.0097641624013906,-0.0111386550230362,0.0013744926216456,→ late,0.0013744926216456,47,0.38,MEDIUM,MEDIUM r=0.38 — moderate coupling; treat mRNA as indicative,0.728
PARK7,-0.0014084837062707,-0.002723993599222,0.0013155098929512,→ late,0.0013155098929512,48,0.57,HIGH,HIGH r=0.57 — strong mRNA-protein coupling,-0.165
SOD3,-0.008505785211067,-0.0097835371003054,0.0012777518892384,→ late,0.0012777518892384,49,0.41,MEDIUM,MEDIUM r=0.41 — moderate coupling; treat mRNA as indicative,-0.107
H4C1,-0.007111725531417,-0.0083254099329724,0.0012136844015554,→ late,0.0012136844015554,50,,HIGH,HIGH r=nan — strong mRNA-protein coupling,
AOC3,-0.0137156033953134,-0.014149269763112,0.0004336663677986,→ late,0.0004336663677986,51,0.4,MEDIUM,MEDIUM r=0.40 — moderate coupling; treat mRNA as indicative,-0.708
MT-CO1,-0.0050891701940903,-0.0055015226600699,0.0004123524659796,→ late,0.0004123524659796,52,,HIGH,HIGH r=nan — strong mRNA-protein coupling,-1.141
