model,fold,accuracy,balanced_accuracy,f1,roc_auc,n_val
gat,0,0.7352941176470589,0.5294117647058824,0.18181818181818182,0.6470588235294118,68
gat,1,0.704225352112676,0.4831154684095861,0.08695652173913043,0.6862745098039216,71
gat,2,0.7183098591549296,0.6462264150943396,0.47368421052631576,0.689727463312369,71
gat,3,0.2463768115942029,0.5,0.3953488372093023,0.6889140271493213,69
gat,4,0.5571428571428572,0.4659863945578231,0.24390243902439024,0.6268221574344024,70
gcn,0,0.6176470588235294,0.5686274509803921,0.38095238095238093,0.6020761245674741,68
gcn,1,0.4507042253521127,0.6388888888888888,0.4657534246575342,0.6764705882352942,71
gcn,2,0.5774647887323944,0.6069182389937107,0.4444444444444444,0.7044025157232705,71
gcn,3,0.7246376811594203,0.540158371040724,0.24,0.7420814479638009,69
gcn,4,0.7,0.5,0.0,0.6141885325558795,70
