model,fold,accuracy,balanced_accuracy,f1,roc_auc,n_val
gcn,0,0.9529411764705882,0.9733333333333334,0.9726027397260274,0.9933333333333333,85
gcn,1,0.9058823529411765,0.9466666666666667,0.9436619718309859,0.9866666666666667,85
gcn,2,0.6352941176470588,0.7933333333333333,0.7394957983193278,0.9893333333333334,85
gcn,3,0.9058823529411765,0.8166666666666667,0.9459459459459459,0.9666666666666667,85
gcn,4,0.9404761904761905,0.9662162162162162,0.965034965034965,0.9851351351351352,84
gat,0,0.9764705882352941,0.9866666666666667,0.9864864864864865,1.0,85
gat,1,0.9647058823529412,0.9366666666666668,0.9798657718120806,0.9946666666666667,85
gat,2,0.9411764705882353,0.9233333333333333,0.9659863945578231,0.9866666666666668,85
gat,3,0.8705882352941177,0.9266666666666667,0.920863309352518,0.9973333333333334,85
gat,4,0.9166666666666666,0.9527027027027026,0.950354609929078,0.9959459459459459,84
