gene_symbol,importance
CP,1.7684635734558105
SOD1,1.1413870716094972
MT-CO1,1.0858919841051102
ATOX1,1.0528836274147033
MAP2K1,0.9852897262573242
ALB,0.9710844337940217
LOXL4,0.8875138309597969
MT-CO2,0.8267553165555
LOX,0.8084073032438756
ATP7B,0.7082189940661192
AOC3,0.6435129931569099
DBH,0.622465147972107
CUTC,0.59134501516819
COMMD1,0.5747291871905327
LOXL2,0.5639286640286446
LOXL1,0.532670119702816
SLC31A1,0.5156437599658966
SPARC,0.4960896497964859
S100A12,0.43635563656687737
MOXD1,0.427072149515152
SOD3,0.42167136296629903
ATP7A,0.4061134774982929
APP,0.39082993417978285
MOXD2P,0.3781212609261274
CCS,0.34534251973032953
LTF,0.3341155044734478
LOXL3,0.32615417405962943
SNCA,0.32416510343551636
AOC2,0.3221790514886379
MEMO1,0.3216813103109598
S100A13,0.3177613358944654
PARK7,0.3121239747107029
SCO1,0.31153543829917907
MT3,0.30752974435687064
AOC1,0.2980980579555035
MT4,0.2951378555595875
TYRP1,0.28380923375487327
PRNP,0.2792329888045788
S100A5,0.27583611018955706
SCO2,0.26861178673803804
PAM,0.2490088527649641
S100B,0.24487642221152783
TYR,0.2440662333369255
COX11,0.22153962701559066
ENOX2,0.21019174799323082
AFP,0.18479087311774492
ENOX1,0.1817190546542406
HEPH,0.16941497676074505
F5,0.16398814611136914
SLC31A2,0.15234928321093322
GPC1,0.14983553044497966
HEPHL1,0.13503295980393887
COX17,0.12265298329293728
CUTA,0.11684822168201209
